age,deaths,pop,sexe
0,354,100 000,1
1,62,99 646,1
2,24,99 584,1
3,18,99 561,1
4,14,99 543,1
5,12,99 529,1
6,11,99 517,1
7,9,99 507,1
8,8,99 497,1
9,8,99 489,1
10,8,99 481,1
11,8,99 473,1
12,9,99 465,1
13,10,99 457,1
14,13,99 446,1
15,17,99 433,1
16,22,99 416,1
17,30,99 394,1
18,39,99 365,1
19,48,99 326,1
20,55,99 278,1
21,59,99 223,1
22,61,99 165,1
23,64,99 104,1
24,66,99 041,1
25,70,98 976,1
26,71,98 907,1
27,74,98 836,1
28,76,98 763,1
29,78,98 688,1
30,80,98 612,1
31,83,98 533,1
32,86,98 451,1
33,91,98 367,1
34,95,98 277,1
35,100,98 184,1
36,105,98 085,1
37,113,97 982,1
38,125,97 871,1
39,136,97 748,1
40,148,97 615,1
41,161,97 471,1
42,175,97 314,1
43,197,97 144,1
44,215,96 953,1
45,236,96 744,1
46,263,96 516,1
47,293,96 262,1
48,321,95 980,1
49,354,95 672,1
50,389,95 333,1
51,424,94 963,1
52,463,94 561,1
53,512,94 122,1
54,570,93 640,1
55,640,93 106,1
56,694,92 511,1
57,767,91 869,1
58,834,91 165,1
59,886,90 404,1
60,979,89 603,1
61,1 032,88 726,1
62,1 102,87 811,1
63,1 181,86 843,1
64,1 244,85 817,1
65,1 319,84 749,1
66,1 390,83 631,1
67,1 471,82 469,1
68,1 590,81 255,1
69,1 693,79 963,1
70,1 830,78 610,1
71,1 952,77 171,1
72,2 102,75 665,1
73,2 298,74 075,1
74,2 461,72 372,1
75,2 692,70 591,1
76,2 954,68 691,1
77,3 284,66 661,1
78,3 612,64 472,1
79,4 089,62 144,1
80,4 536,59 603,1
81,5 103,56 899,1
82,5 772,53 996,1
83,6 465,50 879,1
84,7 326,47 590,1
85,8 269,44 104,1
86,9 361,40 457,1
87,10 557,36 669,1
88,11 953,32 798,1
89,13 317,28 878,1
90,14 814,25 032,1
91,16 554,21 324,1
92,18 387,17 794,1
93,20 313,14 522,1
94,22 524,11 572,1
95,24 750,8 966,1
96,26 700,6 747,1
97,28 837,4 945,1
98,31 396,3 519,1
99,33 844,2 414,1
100,34 473,1 597,1
101,35 937,1 047,1
102,38 204,671,1
103,40 566,414,1
104,41 808,246,1
0,290,100 000,2
1,56,99 710,2
2,21,99 653,2
3,13,99 632,2
4,11,99 619,2
5,9,99 608,2
6,8,99 599,2
7,7,99 591,2
8,7,99 584,2
9,7,99 577,2
10,7,99 571,2
11,7,99 564,2
12,7,99 557,2
13,8,99 550,2
14,9,99 542,2
15,11,99 533,2
16,13,99 522,2
17,14,99 509,2
18,17,99 495,2
19,19,99 479,2
20,21,99 459,2
21,21,99 438,2
22,21,99 417,2
23,22,99 396,2
24,22,99 374,2
25,23,99 353,2
26,23,99 330,2
27,25,99 306,2
28,27,99 281,2
29,29,99 255,2
30,31,99 226,2
31,33,99 195,2
32,34,99 163,2
33,37,99 129,2
34,39,99 092,2
35,42,99 054,2
36,48,99 011,2
37,54,98 964,2
38,60,98 910,2
39,66,98 850,2
40,72,98 785,2
41,79,98 714,2
42,87,98 636,2
43,99,98 550,2
44,112,98 452,2
45,125,98 342,2
46,138,98 219,2
47,151,98 083,2
48,172,97 935,2
49,182,97 767,2
50,199,97 589,2
51,220,97 395,2
52,234,97 180,2
53,253,96 953,2
54,277,96 707,2
55,296,96 440,2
56,323,96 154,2
57,349,95 843,2
58,374,95 508,2
59,404,95 151,2
60,423,94 767,2
61,456,94 365,2
62,478,93 935,2
63,517,93 486,2
64,540,93 003,2
65,590,92 501,2
66,617,91 955,2
67,659,91 388,2
68,713,90 786,2
69,775,90 139,2
70,860,89 440,2
71,921,88 671,2
72,1 027,87 855,2
73,1 135,86 952,2
74,1 225,85 966,2
75,1 378,84 912,2
76,1 553,83 742,2
77,1 727,82 442,2
78,1 929,81 018,2
79,2 201,79 455,2
80,2 550,77 706,2
81,2 942,75 725,2
82,3 368,73 497,2
83,3 894,71 022,2
84,4 516,68 256,2
85,5 250,65 174,2
86,6 088,61 753,2
87,7 069,57 993,2
88,8 063,53 893,2
89,9 307,49 548,2
90,10 678,44 937,2
91,12 214,40 138,2
92,13 901,35 236,2
93,15 723,30 337,2
94,17 750,25 567,2
95,19 759,21 029,2
96,22 088,16 874,2
97,24 416,13 147,2
98,26 814,9 937,2
99,28 892,7 272,2
100,31 218,5 171,2
101,34 290,3 557,2
102,36 204,2 337,2
103,38 566,1 491,2
104,39 808,916,2
